               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081605,            0.017055,                   0,             0.61064,              0.4946,             0.54531,             0.30077,            0.048245,           0.0072665,                   0,            0.070046,           0.0033283,           0.0033283
                   1,            0.052619,            0.015933,                   0,             0.72126,             0.64173,             0.69622,             0.38783,            0.040436,           0.0061498,                   0,             0.03998,           0.0065956,           0.0065956
                   2,            0.048941,            0.014947,                   0,             0.71335,             0.59435,              0.6844,             0.39288,            0.041986,           0.0060569,                   0,           0.0098478,            0.009797,            0.009797
                   3,            0.048412,            0.015063,                   0,             0.74293,             0.60058,             0.69524,             0.39764,            0.040214,           0.0059845,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.046243,             0.01459,                   0,             0.74749,             0.61271,             0.70595,             0.41019,            0.039533,           0.0062117,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.044716,            0.014593,                   0,             0.77271,             0.67249,             0.76207,             0.46474,            0.037006,           0.0057199,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.042687,            0.014321,                   0,             0.80897,              0.6783,             0.77972,             0.46726,            0.034872,           0.0056615,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.041369,            0.013779,                   0,              0.7801,             0.68711,             0.77527,             0.46708,            0.035357,           0.0055846,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.040203,             0.01367,                   0,             0.83219,             0.72319,               0.806,             0.49474,            0.034608,           0.0054009,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.039825,            0.013628,                   0,             0.81954,               0.734,             0.80925,             0.49613,            0.034138,            0.005293,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.039395,            0.013303,                   0,             0.82413,             0.73621,              0.8182,             0.50527,             0.03521,           0.0053615,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.038778,            0.013184,                   0,             0.83567,             0.75664,              0.8336,             0.52509,            0.032694,           0.0051097,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.037906,              0.0127,                   0,             0.82356,             0.74564,             0.83327,             0.52837,            0.031444,            0.005298,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.037794,            0.012737,                   0,             0.83684,             0.79052,             0.86046,              0.5565,            0.030817,           0.0050852,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.03734,            0.012955,                   0,             0.84147,             0.78095,             0.85083,             0.54759,            0.030841,           0.0051197,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.036778,            0.012665,                   0,             0.85348,             0.77889,             0.85188,             0.55246,            0.030847,           0.0051551,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.036581,            0.012416,                   0,             0.84714,             0.77224,             0.85508,             0.52454,            0.031898,           0.0050846,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.036011,            0.012657,                   0,             0.85436,             0.75977,             0.84796,             0.54779,            0.031385,           0.0051967,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.035725,            0.012382,                   0,              0.8866,             0.75312,             0.86237,             0.56925,            0.031234,           0.0050053,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.03531,            0.012312,                   0,             0.84994,             0.78886,             0.85773,             0.56581,             0.03103,           0.0049356,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.035385,            0.012291,                   0,             0.86466,             0.77639,             0.86632,             0.56242,            0.029917,           0.0049915,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.035006,            0.012224,                   0,             0.87847,             0.79634,             0.87926,             0.58501,            0.029311,           0.0048147,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.034362,             0.01214,                   0,             0.85193,             0.80347,             0.87835,             0.57266,            0.029324,           0.0048799,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.034696,            0.011967,                   0,             0.86856,             0.81297,             0.88039,             0.59076,            0.028834,           0.0048451,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.034494,             0.01181,                   0,             0.88936,             0.79052,             0.88374,             0.59705,            0.028931,           0.0047562,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.033948,            0.011771,                   0,             0.89458,              0.8005,             0.88952,             0.59061,            0.028916,           0.0047783,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.033437,            0.011624,                   0,             0.87106,             0.79741,              0.8736,             0.58413,            0.028941,           0.0049671,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.033148,            0.011535,                   0,             0.86826,              0.7872,             0.87463,             0.59039,            0.029018,            0.004815,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.033144,            0.011491,                   0,             0.86104,             0.84871,             0.89685,             0.61906,            0.027889,            0.004594,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.032708,            0.011506,                   0,             0.88819,             0.81883,             0.89584,             0.60147,            0.028403,           0.0046837,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.032775,            0.011644,                   0,             0.88146,             0.78554,             0.88692,             0.60529,            0.028288,           0.0046911,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.031928,            0.011308,                   0,             0.90768,             0.78461,             0.88119,             0.60118,            0.028791,           0.0047686,                   0,             0.00703,             0.00703,             0.00703
                  32,             0.03236,            0.011467,                   0,             0.87171,             0.80382,             0.88807,             0.60995,            0.028191,           0.0047012,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.031676,            0.011275,                   0,             0.87207,             0.82734,             0.89508,             0.60281,            0.028264,           0.0046375,                   0,            0.006832,            0.006832,            0.006832
                  34,             0.03205,            0.011093,                   0,             0.89619,             0.81094,             0.89894,             0.61244,            0.027739,           0.0046313,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.031684,            0.011189,                   0,             0.89627,             0.81159,             0.89632,             0.61719,            0.027693,           0.0046287,                   0,            0.006634,            0.006634,            0.006634
                  36,             0.03186,            0.011202,                   0,             0.88148,             0.81047,             0.88825,             0.61273,            0.027812,           0.0046322,                   0,            0.006535,            0.006535,            0.006535
                  37,             0.03171,            0.011113,                   0,             0.89231,             0.81965,             0.89789,             0.61111,             0.02798,           0.0046551,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.030923,              0.0111,                   0,             0.87915,             0.82627,             0.89928,             0.63204,             0.02715,           0.0045126,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.030803,            0.011056,                   0,             0.91312,             0.81463,             0.90931,             0.62831,            0.027388,           0.0045809,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.030178,            0.010975,                   0,             0.89456,               0.804,             0.89592,              0.6218,            0.027389,           0.0046142,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.030494,             0.01098,                   0,             0.91217,             0.83744,             0.90788,             0.62266,            0.027063,           0.0045824,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.030516,            0.010845,                   0,             0.88369,             0.82738,             0.90475,             0.62193,            0.026605,            0.004674,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.030092,            0.010794,                   0,             0.90894,             0.79967,             0.90142,             0.62932,            0.026885,            0.004548,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.029967,            0.010772,                   0,             0.89164,             0.83791,             0.91281,             0.63293,            0.026524,            0.004474,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.029676,            0.010598,                   0,             0.89558,             0.83414,             0.90502,             0.62416,            0.027475,           0.0045737,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.029624,              0.0108,                   0,             0.88299,             0.84058,             0.90251,             0.62724,            0.026435,           0.0045544,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.029809,            0.010487,                   0,              0.9121,             0.83874,             0.90822,             0.63664,            0.026389,            0.004569,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.029024,            0.010421,                   0,             0.89029,             0.84997,             0.90802,              0.6384,            0.026321,           0.0044996,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.02937,            0.010496,                   0,             0.89996,             0.83008,             0.91024,             0.64304,            0.026249,           0.0044872,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.02923,            0.010419,                   0,             0.92002,             0.81962,             0.91691,             0.64269,            0.026277,           0.0044115,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.028737,            0.010156,                   0,             0.87688,              0.8525,             0.91169,             0.64062,            0.026537,           0.0044874,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.029006,            0.010511,                   0,             0.91592,             0.83707,             0.91638,             0.64741,            0.026398,           0.0044184,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.029068,            0.010418,                   0,             0.91203,             0.83874,             0.91258,             0.64083,            0.026216,           0.0044842,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.028764,             0.01022,                   0,             0.89618,             0.83956,             0.91168,             0.63716,            0.026371,           0.0045237,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.028781,            0.010141,                   0,             0.91004,              0.8404,             0.91769,             0.64319,            0.026495,           0.0045056,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.028017,            0.010173,                   0,             0.90494,             0.83884,             0.91619,             0.64816,            0.026285,           0.0044248,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.028003,             0.01021,                   0,             0.90525,             0.84982,             0.91733,             0.64956,            0.026159,           0.0044486,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.028167,            0.010133,                   0,             0.89687,             0.84123,             0.91086,             0.63971,            0.026605,           0.0045406,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.027771,             0.01026,                   0,             0.89332,              0.8537,             0.91179,             0.65006,            0.025999,           0.0044724,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.027394,            0.010042,                   0,             0.89041,             0.85775,             0.91168,             0.64097,            0.026316,           0.0045913,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.027566,           0.0098496,                   0,             0.89941,             0.84539,             0.91659,             0.64731,            0.025776,            0.004457,                   0,             0.00406,             0.00406,             0.00406
                  62,               0.027,           0.0099129,                   0,              0.9152,             0.85223,             0.92209,             0.65409,            0.025825,           0.0044062,                   0,            0.003961,            0.003961,            0.003961
                  63,             0.02712,           0.0096854,                   0,             0.90349,             0.85869,             0.92133,             0.65359,            0.025581,           0.0044276,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.027101,           0.0097335,                   0,             0.90808,             0.86224,             0.92191,              0.6578,            0.025742,            0.004327,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.026767,           0.0098785,                   0,             0.89655,             0.86534,             0.92338,             0.65723,            0.025905,           0.0043716,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.026771,           0.0096224,                   0,             0.89011,             0.86035,             0.91889,             0.65633,            0.025772,           0.0044374,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.026632,           0.0097951,                   0,             0.91534,             0.82793,              0.9145,             0.65565,            0.026124,           0.0044373,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.026695,           0.0098526,                   0,             0.91097,             0.85909,             0.91941,             0.66024,            0.025747,           0.0043798,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.025941,           0.0095578,                   0,             0.91692,             0.83791,             0.91911,             0.65558,            0.025649,           0.0043879,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.026192,           0.0094322,                   0,             0.89993,             0.85702,             0.92111,              0.6613,            0.025633,           0.0043351,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.025999,           0.0095203,                   0,             0.92841,             0.85163,             0.92521,             0.66827,            0.025462,           0.0043038,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.025855,           0.0093531,                   0,              0.9111,             0.85287,             0.92374,             0.66656,            0.025291,           0.0043444,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.025709,           0.0093905,                   0,              0.9294,             0.85619,             0.92459,              0.6694,             0.02536,           0.0043216,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.026086,           0.0095529,                   0,             0.92405,             0.85968,             0.92673,             0.66874,            0.025377,           0.0043421,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.026112,           0.0094994,                   0,             0.91895,             0.85204,             0.92561,             0.66362,            0.025468,           0.0043494,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.025534,           0.0094581,                   0,             0.92365,             0.86617,             0.93205,              0.6728,            0.025509,           0.0043578,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.025699,           0.0093034,                   0,             0.90539,             0.86704,             0.92668,             0.66858,            0.025343,           0.0043987,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.024949,           0.0091127,                   0,             0.90895,             0.87032,             0.92641,             0.67306,            0.025176,           0.0044406,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.024912,           0.0092376,                   0,             0.92738,             0.85037,             0.92561,              0.6706,            0.025099,           0.0044258,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.024809,            0.009173,                   0,             0.92454,             0.85204,             0.92562,             0.66633,            0.025517,            0.004445,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.024468,           0.0091821,                   0,             0.91669,             0.86891,             0.92642,             0.67085,            0.025546,            0.004369,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.024169,            0.008948,                   0,             0.91842,             0.86451,             0.92484,               0.668,            0.025749,           0.0043407,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.024568,           0.0090945,                   0,             0.91109,             0.86882,             0.92908,             0.67502,            0.025304,           0.0043341,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.024244,           0.0089857,                   0,                 0.9,             0.88282,             0.93113,             0.67157,            0.025402,           0.0043494,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.024135,           0.0089701,                   0,             0.91708,             0.86417,             0.92696,             0.67252,            0.025314,           0.0043174,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.023862,           0.0088114,                   0,              0.9205,             0.87199,             0.93127,             0.67656,            0.025232,           0.0042946,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.023894,           0.0089362,                   0,             0.91363,             0.87052,             0.92814,             0.67637,            0.025314,           0.0043586,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.024019,             0.00875,                   0,             0.92749,             0.87116,             0.93385,             0.67711,            0.025316,           0.0043286,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.023599,           0.0087363,                   0,             0.94407,             0.86284,              0.9341,             0.67741,            0.025261,           0.0043322,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.023794,           0.0087888,                   0,             0.93287,             0.86641,              0.9332,               0.678,            0.025314,            0.004364,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.023141,            0.008667,                   0,             0.93471,             0.85683,             0.93077,              0.6772,            0.025157,           0.0043267,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.023142,            0.008705,                   0,              0.9322,             0.86201,              0.9324,             0.67736,             0.02514,           0.0043744,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.02301,           0.0086495,                   0,             0.92814,               0.867,             0.93049,             0.67919,            0.025104,           0.0043547,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.023175,           0.0085385,                   0,             0.92412,             0.86949,             0.93151,             0.68157,            0.025027,           0.0043272,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.022708,           0.0085475,                   0,             0.92882,             0.86777,             0.93146,             0.68227,            0.025093,           0.0043595,                   0,            0.000694,            0.000694,            0.000694
                  96,             0.02285,           0.0084883,                   0,             0.92796,             0.87365,              0.9326,             0.68326,            0.025078,            0.004362,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.022825,           0.0085463,                   0,             0.93188,             0.86423,             0.93132,             0.68141,            0.025097,           0.0043456,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.022625,            0.008505,                   0,             0.92466,             0.87199,             0.93129,             0.68042,            0.025073,           0.0043667,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.022329,           0.0083063,                   0,             0.92464,             0.87365,             0.93132,             0.68184,            0.025108,           0.0043311,                   0,            0.000298,            0.000298,            0.000298
